aX,aY,aZ,gX,gY,gZ
-0.958,0.292,1.950,-7.141,47.241,-20.508
-1.194,0.423,2.287,9.216,126.282,-30.701
-1.717,0.787,2.807,33.813,184.570,-33.264
-1.963,0.809,2.822,107.910,348.145,-53.833
-2.248,0.425,2.300,134.216,441.040,-63.965
-2.160,0.183,1.894,142.151,594.666,-59.937
-1.583,-0.200,1.097,136.414,631.470,-51.025
-1.242,-0.366,0.815,131.042,637.939,-42.358
-0.965,-0.495,0.641,113.953,612.671,-17.395
-0.761,0.110,1.984,30.151,144.470,-1.953
-0.862,0.177,2.074,59.204,218.262,12.207
-1.082,0.335,2.176,75.806,255.066,18.677
-1.181,0.322,2.141,113.159,341.492,21.790
-1.206,0.045,1.840,129.578,384.949,23.926
-1.099,-0.126,1.583,141.052,420.044,32.837
-0.927,-0.215,1.342,128.357,462.769,70.618
-0.573,-0.131,1.003,103.516,472.717,87.341
-0.448,-0.068,0.923,72.083,473.938,89.172
-0.385,0.079,2.038,82.642,195.129,-17.151
-0.405,0.043,2.009,93.018,252.014,-9.644
-0.405,0.098,1.797,97.839,278.137,-0.977
-0.384,0.149,1.704,117.737,317.200,9.705
-0.345,0.153,1.655,126.404,335.205,6.042
-0.324,0.075,1.596,133.850,356.628,-1.770
-0.270,-0.183,1.323,146.057,398.132,-7.568
-0.241,-0.289,1.171,145.874,409.729,2.075
-0.215,-0.336,1.037,120.728,418.701,36.865
-0.437,0.170,2.192,17.395,140.259,-16.663
-0.480,0.088,2.240,51.147,212.830,-16.602
-0.496,-0.040,2.161,65.186,245.300,-7.568
-0.469,-0.062,2.015,66.223,306.641,14.343
-0.401,-0.049,1.694,56.702,333.984,19.592
-0.375,-0.032,1.549,55.725,366.943,17.883
-0.258,-0.093,1.210,62.317,375.671,18.005
-0.181,-0.122,1.044,62.622,382.935,20.386
-0.097,-0.114,0.948,47.180,388.123,26.733
-0.775,-0.521,1.608,93.384,-335.815,-115.356
-0.741,-0.521,1.573,-34.912,-270.142,-102.478
-0.679,-0.226,1.895,-51.025,-241.638,-99.060
-0.672,-0.258,2.019,18.677,-187.805,-67.139
-0.558,-0.465,1.771,48.218,-168.396,-40.222
-0.460,-0.427,1.598,5.249,-136.780,-6.531
-0.232,-0.078,1.471,-41.138,-114.197,-9.094
-0.155,-0.011,1.374,-79.163,-71.350,-37.170
-0.143,-0.107,1.243,-75.928,-66.223,-42.236
-0.698,0.051,2.557,-21.851,267.700,-9.949
-0.864,0.071,2.646,-45.227,384.277,-18.982
-0.992,0.246,2.292,-7.874,437.378,-11.902
-0.967,0.256,1.997,104.370,503.052,7.202
-0.815,0.137,1.244,125.061,519.348,14.038
-0.714,0.051,0.934,93.994,524.963,24.536
-0.626,-0.147,0.642,61.707,525.635,27.466
-0.644,-0.234,0.544,36.560,528.076,33.997
-0.646,-0.299,0.379,-1.648,529.785,80.322

-0.693,-0.119,2.202,32.471,160.400,17.456
-0.846,-0.170,2.326,43.518,270.691,50.049
-1.049,-0.183,2.401,62.988,338.135,74.707
-1.060,-0.142,2.288,114.258,466.125,122.559
-1.074,-0.123,1.911,128.174,511.536,134.338
-1.059,-0.144,1.771,114.319,565.674,138.550
-0.944,-0.211,1.424,107.544,579.163,141.968
-0.845,-0.269,1.236,111.145,589.050,151.550
-0.742,-0.293,1.077,125.000,594.666,183.838
-0.470,0.067,2.153,69.885,162.720,-0.305
-0.498,0.082,2.197,114.746,231.079,8.118
-0.497,0.066,2.153,139.343,264.771,12.268
-0.501,0.027,2.121,155.579,332.520,15.625
-0.556,-0.146,1.986,148.987,368.591,16.235
-0.603,-0.236,1.791,129.883,428.040,29.724
-0.570,-0.319,1.375,117.981,444.702,44.189
-0.500,-0.298,1.237,103.210,455.505,59.998
-0.403,-0.278,1.099,73.120,472.534,74.646
-0.252,-0.278,0.698,70.068,475.891,76.538
-0.212,-0.234,0.531,61.096,470.459,85.449
-0.192,-0.272,0.237,67.078,465.454,91.919
-0.191,-0.285,0.138,72.327,453.430,116.760
-0.146,-0.235,0.063,73.975,453.125,132.324
-0.119,-0.212,-0.034,82.275,455.688,160.706
-0.280,-0.604,1.529,-78.918,-336.853,-183.411
-0.167,-0.486,1.378,-216.614,-229.431,-145.935
-0.048,-0.104,0.963,-233.154,-216.919,-132.568
-0.151,0.025,0.974,-121.338,-272.156,-141.724
-0.469,-0.201,1.405,-36.560,-291.260,-150.635
-0.512,-0.352,1.540,-8.362,-236.450,-127.686
-0.418,-0.427,1.353,-45.227,-186.157,-104.065
-0.385,-0.383,1.151,-101.990,-131.348,-59.021
-0.374,-0.250,0.943,-109.680,-135.315,-41.565
-0.402,-0.075,1.038,-106.323,-164.978,-43.396
-0.464,0.207,1.303,-91.064,-166.321,-51.392
-0.480,0.219,1.324,-49.194,-135.010,-58.350
-0.505,-0.011,1.170,-34.546,-116.638,-57.251
-0.503,-0.117,1.094,-36.133,-102.844,-52.307
-0.494,-0.147,1.058,-66.528,-88.745,-33.936
-0.708,-0.160,2.890,69.946,106.262,-19.470
-0.766,-0.304,3.362,146.667,235.962,-6.714
-1.039,-0.548,3.622,171.997,325.195,16.479
-1.185,-0.570,3.440,183.533,502.258,91.309
-1.312,-0.432,2.808,177.612,566.101,130.920
-1.352,-0.365,2.489,154.053,648.437,197.144
-1.332,-0.218,2.004,132.812,674.194,224.487
-1.309,-0.191,1.758,118.652,695.190,244.995
-1.284,-0.244,1.502,134.827,736.633,276.489
-1.225,-0.288,0.678,159.302,752.930,295.471
-1.202,-0.241,0.119,187.683,736.084,334.167
-1.286,0.020,-0.637,155.518,705.261,349.304
-1.278,0.253,-0.712,78.735,629.333,359.436
-1.372,0.645,-0.724,73.120,591.187,344.971
-1.494,0.702,-0.825,112.793,543.213,293.457